"","WWP","DWpM","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SA18-CB-7-MG2",0.558,0.141,0,10.951,-0.003,0.159,0.08,0.546,0.596
"SL18-OI-15-MG1",0.45,0.102,0,55.858,-0.029,0.169,0.547,-0.428,0.092
"SL18-SF-15-MG1",0.485,0.097,0,73.673,-0.046,-0.076,-0.31,0.264,-1.071
"SA18-CB-7-MG1",0.531,0.095,0,13.262,-0.016,-0.082,0.235,0.716,-0.19
"SL18-SF-15-MG2",0.514,0.089,0,33.12,-0.017,0.123,0.272,0.426,-0.277
"SA18-CB-1-MG2",0.486,0.081,0,49.826,0.031,-0.355,-0.016,-0.791,0.27
"SL18-OI-15-MG2",0.337,0.072,0,42.815,-0.055,-0.114,-0.423,-0.448,0.006
"SL18-OI-14-MG2",0.258,0.064,0,-1.229,0.001,-0.494,-0.102,-0.527,-0.098
"SA18-CB-10-MG1",0.285,0.05,0,17.78,-0.008,-0.208,0.414,-0.329,0.225
"SL18-SF-13-MG1",0.145,0.047,0,33.434,-0.004,-0.654,-0.425,-2.013,-2.554
"SL18-SF-17-MG1",0.114,0.045,0,-53.978,0.018,0.446,0.104,0.068,-0.13
"SL18-SF-13-MG2",0.109,0.044,0,19.093,0.004,-0.002,0.015,-0.121,0.858
"SL18-SF-17-MG2",0.227,0.041,0,67.08,0.039,0.149,0.417,-0.164,1.012
"SL18-SF-19-MG2",0.176,0.036,0,91.384,0.003,0.329,0.4,-0.261,0.44
"SL18-SF-19-MG1",-0.036,0.03,0,86.461,0.01,0.217,0.007,0.314,0.616
"SL18-OI-9-MG3",0.2,0.03,0,44.653,-0.017,0.005,-0.076,-0.384,-1.691
"SA18-CB-3-MG3",0.349,0.025,0,6.979,0.042,0.586,-0.255,-0.134,-0.069
"SL18-OI-16-MG1",0.124,0.02,0,48.738,-0.052,-0.172,-0.283,-0.003,0.013
"SA18-CB-4-MG3",0.235,0.019,0,-24.913,-0.033,-0.274,-0.518,-0.278,-0.635
"SL18-OI-7-MG1",0.101,0.014,0,132.097,-0.051,0.01,0.387,0.451,0.057
"SL18-NL-6-MG1",0.072,0.012,0,77.627,-0.011,-0.38,0.629,1.27,1.031
"SL18-LD-13-MG2",-0.001,0.012,0,53.819,-0.003,0.283,-0.253,-0.39,0.475
"SL18-SF-13-MG3",-0.099,-0.002,0,-4.241,0.008,-0.134,-0.169,0.056,0.049
"SL18-OI-4-MG1",0.017,-0.004,0,-30.673,0.011,0.056,-0.834,-0.177,0.123
"SL18-LD-10-MG1",0.004,-0.007,0,-1.381,-0.011,0.145,1.009,-0.6,-0.39
"SL18-SF-17-MG3",-0.129,-0.01,0,-31.061,0.017,0.48,1.556,-0.34,0.462
"SL18-NL-2-MG3",-0.039,-0.011,0,-39.288,0.026,0.494,0.178,0.258,0.195
"SA18-CB-2-MG2",-0.063,-0.012,0,-30.052,0.02,0.128,-0.179,0.019,0.161
"SL18-OI-6-MG2",-0.012,-0.012,0,-74.367,-0.073,-0.422,-0.362,-0.902,-0.382
"SA18-CB-4-MG1",0.104,-0.015,0,-50.837,-0.026,-0.392,0.066,-0.601,-0.599
"SL18-OI-11-MG2",-0.07,-0.015,0,-31.323,0.016,0.431,-0.553,0.52,0.199
"SA18-CB-2-MG3",-0.103,-0.017,0,-70.197,0.019,0.252,0.503,0.243,-0.002
"SL18-NL-2-MG1",-0.125,-0.018,0,-3.154,0.024,0.177,1.068,0.669,0.003
"SL18-OI-18-MG1",-0.248,-0.022,0,-69.289,-0.023,-0.094,0.13,0.029,-0.043
"SL18-LL-9-MG3",-0.163,-0.024,0,-79.959,0.031,0.062,0.341,0.662,0.342
"SA18-CB-2-MG1",-0.218,-0.031,0,-21.399,0.016,0.509,-0.253,-0.193,-0.452
"SL18-NL-2-MG2",-0.177,-0.04,0,1.989,0.022,0.009,-0.574,0.668,-0.313
"SL18-NL-9-MG2",-0.135,-0.04,0,12.126,0.016,0.048,-0.724,-0.048,0.651
"SL18-LD-3-MG2",-0.129,-0.041,0,-28.021,0.045,0.232,0.366,0.513,-0.08
"SL18-NL-10-MG2",-0.241,-0.042,0,26.467,-0.023,0.207,-0.151,0.05,-0.024
"SL18-NL-7-MG1",-0.286,-0.042,0,-45.542,0.009,0.072,-0.261,1.105,1.141
"SL18-LD-9-MG1",-0.304,-0.045,0,-70.711,0.021,-0.096,0.285,-0.543,-0.824
"SL18-LD-2-MG1",-0.354,-0.045,0,-46.491,0.008,0.198,-0.099,0.579,0.57
"SL18-LL-9-MG2",-0.12,-0.051,0,-24.947,0.047,-0.446,0.983,0.639,0.766
"SL18-LD-5-MG1",0.004,-0.057,0,-36.924,0.024,0.113,0.431,0.018,0.348
"SL18-LD-2-MG3",-0.383,-0.059,0,-62.309,0.024,-0.07,-1.04,-0.087,-0.073
"SL18-NL-3-MG2",-0.422,-0.063,0,-14.243,-0.016,0.018,-0.247,0.053,-0.393
"SL18-NL-5-MG1",-0.393,-0.068,0,5.065,0.026,-0.278,-0.327,-0.201,0.214
"SA18-CB-5-MG3",-0.469,-0.068,0,-42.441,0.017,0.041,0.387,0.282,0.746
"SL18-LL-9-MG1",-0.428,-0.083,0,-109.997,0.034,-0.037,0.215,0.133,-0.278
"SL18-LD-1-MG2",-0.403,-0.088,0,-46.716,-0.015,-0.04,-0.402,-0.054,-0.291
"SL18-NL-9-MG1",-0.473,-0.103,0,-17.05,-0.002,0.132,0.237,-0.005,0.389
