"","X","DWpM_Three","Trait","Cross2021","Cross2019","Cross2020"
"1","SA18-CB-10-FG6xSL18-OI-15-MG2",0.483135327,0.483135327,TRUE,FALSE,FALSE
"2","SA18-CB-10-FG6xSL18-NC-2-MG1",0.497985021,0.497985021,TRUE,FALSE,FALSE
"3","SL18-CC-3-FG2xSA18-CB-10-MG3",0.411241087,0.411241087,FALSE,FALSE,TRUE
"4","SA18-CB-4-FG6xSL18-OI-15-MG2",0.319130825,0.319130825,TRUE,FALSE,FALSE
"5","SL18-CC-3-FG3xSL18-UCONN-S157-MG2",0.20411721,0.20411721,TRUE,FALSE,FALSE
"6","SL18-CC-3-FG2xSA18-CB-4-MG2",0.346361644,0.346361644,FALSE,FALSE,TRUE
"7","SL18-CC-3-FG2xSL18-OI-11-MG3",0.219932567,0.219932567,TRUE,FALSE,TRUE
"8","SA18-CB-4-FG6xSL18-NC-2-MG1",0.333980402,0.333980402,TRUE,FALSE,FALSE
"9","SL18-CC-12-FG2xSL18-OI-15-MG2",0.357115163,0.357115163,TRUE,FALSE,TRUE
"10","SA18-CB-10-FG6xSL18-JS-6-MG1",0.299099751,0.299099751,TRUE,FALSE,FALSE
"12","SL18-SF-13-FG2xSL18-UCONN-S5-MG1",0.313722297,0.313722297,TRUE,FALSE,FALSE
"15","SL18-CC-3-FG1xSL18-OI-7-MG2",0.229044484,0.229044484,TRUE,FALSE,FALSE
"17","SL18-CC-12-FG3xSL18-OI-15-MG2",0.222838747,0.222838747,TRUE,FALSE,TRUE
"18","SL18-CC-12-FG2xSA18-CB-7-MG1",0.375285354,0.375285354,TRUE,FALSE,FALSE
"19","SA18-CB-10-FG6xSL18-NC-2-MG3",0.327894908,0.327894908,TRUE,FALSE,FALSE
"20","SA18-CB-7-FG1xSL18-LL-9-MG3",0.212869683,0.212869683,FALSE,TRUE,FALSE
"21","SL18-SF-13-FG2xSL18-NC-2-MG1",0.260584677,0.260584677,TRUE,FALSE,FALSE
"27","SL18-CC-11-FG3xSL18-CC-3-MG1",0.246206404,0.246206404,FALSE,FALSE,TRUE
"37","SL18-CC-12-FG2xSL18-LL-9-MG4",0.234205977,0.234205977,FALSE,FALSE,TRUE
"56","SA18-CB-4-FG6xSL18-JS-6-MG3",0.234885888,0.234885888,FALSE,FALSE,TRUE
"61","SL18-SF-17-FG2xSA18-CB-7-MG3",0.25322682,0.25322682,FALSE,FALSE,TRUE
"75","SL18-OI-6-FG2xSA18-CB-4-MG2",0.335322079,0.335322079,FALSE,FALSE,TRUE
"124","SL18-OI-4-FG2xSA18-CB-7-MG2",0.267081564,0.267081564,FALSE,FALSE,TRUE
"135","SL18-SF-17-FG2xSA18-CB-7-MG2",0.217281407,0.217281407,FALSE,FALSE,TRUE
"169","SL18-CC-11-FG3xSA18-CB-3-MG3",0.256137354,0.256137354,FALSE,FALSE,TRUE
"196","SL18-NL-6-FG1xSA18-CB-7-MG2",0.227333715,0.227333715,FALSE,TRUE,FALSE
